[0:00:12] ちくお: っわこらだ
[0:00:21] おもしろ太郎0: わこらだ
[0:00:23] r1n_t: わこらだ
[0:00:34] rigore_napoli: わこらだ
[0:00:34] あらんえむかーびぃ: わこらだ
[0:00:41] daizu___mame: わこらだ
[0:00:42] ryon_ryon__: わこらだ
[0:00:42] くまべりー: わこらだ
[0:00:43] 萩野ノイナ: わこらだ
[0:00:43] えにー: わこらだ
[0:00:43] loupe_5385: わこらだ
[0:00:43] tanaka1200: わこらだ
[0:00:43] kuromame0749: わこらだ
[0:00:44] もじゅべ: わこらだ
[0:00:44] mikan_san: わこらだ
[0:00:44] ふれーく: わこらだ
[0:00:45] まここま: わこらだ
[0:00:45] goodfriends02: わこらだ
[0:00:45] kusozako_ningen: kusozako_ningen subscribed at Tier 1. They've subscribed for 16 months! わこらだ
[0:00:45] 燐だよ: わこらだ
[0:00:46] いんてるいんてる: わこらだ
[0:00:46] まりもころころ: わこらだ
[0:00:46] sinann365: わこらだ
[0:00:46] ふぁる_: わこらだ
[0:00:46] えびとまと: わこらだ
[0:00:46] yudetamagonohi: わこらだ
[0:00:46] monokuro_ro: わこらだ
[0:00:47] 雪1374_: わこらだ
[0:00:47] toumyou_2525: わこらだ
[0:00:47] yumehime_: わこらだ
[0:00:47] ふーら: わこらだ
[0:00:47] rikutaronron: わこらだ
[0:00:47] jyuna0312: わこらだ
[0:00:48] enpt___qmq: わこらだ
[0:00:48] ばらんすぼーる: わこらだ
[0:00:48] まかろん_: わこらだ
[0:00:49] chiroru70: わこらだ
[0:00:49] am4kumo: わこらだ
[0:00:49] osatousan0310: わこらだおめー
[0:00:49] ピピラム: わこらだ
[0:00:49] mi0409: わこらだ
[0:00:49] 燐だよ: おめ
[0:00:49] monsta_niji: わこらだ
[0:00:49] fuucyann: わこらだ
[0:00:50] osato9654: わこらだ
[0:00:50] rinnne_1220: わこらだ
[0:00:50] ろーすとびーふ: わこらだ
[0:00:50] enu_xo: わこらだ
[0:00:50] maimai1011: maimai1011 subscribed at Tier 1. They've subscribed for 20 months! わこらだ
[0:00:50] ryuryu_ryu: わこらだ
[0:00:50] wolf1130: わこらたま
[0:00:50] riin_2020: わこらだー
[0:00:50] ありんこーん: わこらだ
[0:00:50] 19sheeps: わこらだ
[0:00:50] さらしゃ: わこらだおめ radaoOme radaoOme
[0:00:50] runa_xx1023: わこらだ
[0:00:51] zomukyo_i: わこらだ！
[0:00:51] mimitabu_92: わこらだ
[0:00:51] moimo_moi: わこらだ
[0:00:51] kainn_1114: わこらだ
[0:00:51] ここねり: わこらだ
[0:00:51] ミナオ: わこらだ
[0:00:51] hime_coro: わこらだ
[0:00:51] megakonsento: わこらだ
[0:00:51] yura__f: わこらだ
[0:00:52] mitora2916: わこらだ
[0:00:52] bamubamu_baamu: わこらだ
[0:00:52] 柴桜: わこらだ
[0:00:52] muiii_61: わこらだ
[0:00:52] すいぺりあ: わこらだおめでと
[0:00:52] ayunosioyaki0223: わこらだおめでとう
[0:00:52] みおお: わこらだ
[0:00:52] sinann365: おめ radaoOme radaoOme radaoOme radaoOme
[0:00:52] rai2109: わこらだ
[0:00:52] じあい: わこらだ
[0:00:52] むちょ: わこらだ
[0:00:52] 音滝そうじ: わこらだ
[0:00:52] ゆきみゃ: わこらだ
[0:00:52] うゅ_: わこらだ
[0:00:52] _ていく_: わこらだ
[0:00:53] buuuuusuka: わこらだ
[0:00:53] wolf1130: おめ
[0:00:53] にちゃん: わこらだ
[0:00:53] sumeshi0213: わこらだ
[0:00:53] きのお: わこらだ
[0:00:53] aachan_s: わこらだー
[0:00:53] aonohito0901: わこらだ
[0:00:53] もじゃるま: radaoWakotu
[0:00:53] かーりんご: わこらだ
[0:00:53] hi_oyu: わこらだ
[0:00:54] pooohchan: わこらだ〜
[0:00:54] picari_: わこらだ
[0:00:54] omio0410: わこらだ
[0:00:54] 無期: radaoWakotu radaoWakotu
[0:00:54] きすみさん: わこらだ
[0:00:55] nekosweet0202: わこらだ
[0:00:55] らびラビらびっと: わこらだおめらだ
[0:00:55] Oyu3255: わこらだ
[0:00:55] karaage_oc: わこらだ
[0:00:55] みずいろか: わこらだ
[0:00:55] yumehime_: 20万人おめ！
[0:00:55] iq3desukedonanika: わこらだ
[0:00:55] けしごむ_: わこらだおめー
[0:00:55] siwanasi: わこらだ
[0:00:55] kuirid: わこらだー
[0:00:55] 天然水の水: わこらだー
[0:00:56] Soratandao: わこらだ
[0:00:56] mitarasi_0w0j: わこらだ
[0:00:56] enpt___qmq: おめでとー
[0:00:56] atuono: わこらだ
[0:00:56] kino_0812: わこらだおま
[0:00:56] エルローライト0302: わこらだおめ！
[0:00:56] えびぽや: わこらだ
[0:00:56] そおお: わこらだ
[0:00:56] mope716: わこらだ
[0:00:56] syokomero: わこらだ
[0:00:56] ろーすとびーふ: おめ
[0:00:56] mikan_san: 20万人行ったんだ？
[0:00:57] zomukyo_i: おめでとー！！！
[0:00:57] chiwa_0227: わこらだ
[0:00:57] mily0208: わこらだ
[0:00:57] 柴桜: おめ！
[0:00:57] chai_latte3: わこらだ
[0:00:57] rai2109: おめでとう radaoOme radaoOme radaoOme
[0:00:57] naraba_12: わこらだ
[0:00:58] sakumyon_: わこらだ
[0:00:58] KAKKO_7120: わこらだ〜
[0:00:58] pu_tyan: わこらだ
[0:00:58] shiroa1019: わこらだ
[0:00:58] morizou1456: morizou1456 subscribed at Tier 1. They've subscribed for 11 months, currently on a 11 month streak! わこらだ！！
[0:00:58] 零度_0: おめでとー！
[0:00:58] anp01008: わこらだ
[0:00:58] gekkabizin0420: わこらだ
[0:00:58] 天然水の水: おめらだ
[0:00:58] non_0606: わこらだ
[0:00:58] chika0129: わこらだ
[0:00:58] きすみさん: おめー
[0:00:58] わかめご飯: わこらだ
[0:00:58] l0vx_y: わこらだ
[0:00:58] もっちにあ: わこらだ
[0:00:59] pirokasugg: わこらだおめー
[0:00:59] mikankan693: わこらだ
[0:00:59] Miriotta: わこらだ
[0:00:59] みおお: おめ
[0:00:59] buuuuusuka: おめ radaoOme
[0:00:59] sakanoooo: おめです！
[0:00:59] のいたぬ: わこらだ
[0:00:59] amagasasa_0909: わこらだ！
[0:00:59] saba_basa_: わこらだおめ
[0:00:59] atuono: radaoOme radaoOme radaoOme
[0:00:59] nerg71: わこらだ
[0:00:59] shige__maru: わこらだ
[0:00:59] かりんりんだよぅ: わこらだおめでとー！！！
[0:00:59] chai_latte3: おめ！！
[0:00:59] motimoti234: わこらだ
[0:01:00] yuk_iha_d_esu: おめでとう
[0:01:00] みっつみつ: わこらだ
[0:01:00] hi_oyu: 20万おめ
[0:01:00] narunaru0322: わこらだ
[0:01:00] amy31077: わこらだ！
[0:01:00] monokuro_ro: monokuro_ro subscribed at Tier 1. They've subscribed for 15 months! わこらだ
[0:01:01] _ていく_: どういたしまして
[0:01:01] peroki0531: わこらだ
[0:01:01] 8lcaaa: わこらだ
[0:01:01] potayu01: おめでと
[0:01:01] 角角家: わこらだ
[0:01:01] 伊丙カオル: わこらだ
[0:01:01] Miriotta: おめでとうー
[0:01:02] peace6flower: わこらだおめー
[0:01:02] ねるの: わこらだ おめ
[0:01:02] l0vx_y: おめ
[0:01:02] わかめご飯: おめ！！！
[0:01:02] ツキミコ: ツキミコ subscribed at Tier 3. They've subscribed for 9 months! わこらだ
[0:01:02] もふ_00: わこらだ
[0:01:02] kino_0812: わこらだおめ
[0:01:02] Yuri_0710: わこらだー！
[0:01:02] かける0728: わこらだ
[0:01:02] mikuru_minto75: わこらだ
[0:01:03] yoriebi: わこらだ
[0:01:03] もっちにあ: おめ radaoOme
[0:01:03] まここま: 20万おめでとうございます
[0:01:03] miri8685: わこらだ
[0:01:03] にこぱん: わこらだ
[0:01:03] ぬるる: わこらだ
[0:01:03] kuirid: おめでとう🎊
[0:01:03] きのお: 20万人おめー
[0:01:03] fuucyann: おめでと〜(๑´ω`ﾉﾉﾞぱちぱちぱち✧
[0:01:04] UnDerxbAr: わこらだ
[0:01:04] Yuri_0710: おめー！
[0:01:05] MC_zurakuma: おめでとうございます！
[0:01:05] r0_0Ru_ruru: わこらだ
[0:01:05] today_1023: radaoWakotu radaoWakotu
[0:01:05] 縮緬雑魚: 20万おめ
[0:01:06] tubutubu591: わこらだ
