[0:00:04] ピックちゅ: hi
[0:00:07] muru1113: わこらだ
[0:00:08] mame820529: わこらだ
[0:00:08] gomimusi0123: わこらだ
[0:00:11] kousei0315: yes
[0:00:13] kuririn0115: わこらだ
[0:00:14] mugnum0109new: わこらだ
[0:00:16] p_dxu: わこらだ
[0:00:16] sinamon898: わこらだ
[0:00:16] okome_rice4: わこらだ
[0:00:17] kousei0315: こん
[0:00:20] hotaru_0309: わこらだ
[0:00:26] junesixtwo: 呂布やってたけどきたよー
[0:00:27] Toropp_A: shadderYo
[0:00:35] nekotori222: わこらだ
[0:00:47] bluesky2564: わこらだ
[0:00:52] kousei0315: ツイッチ民みってるぅぅぅぅぅ！？
[0:00:58] ilovecarpcarp: わこらだこんこんキツネ
[0:01:00] sinamon898: ツイッチからだけどyoutube から来たよ！(ガチ)
[0:01:03] kousei0315: こんこん
[0:01:06] muru1113: 何回も寝落ちしてるからどこまでいったのかきになる
[0:01:16] ashurintamu: こんんん
[0:01:20] kousei0315: むるさんいるじゃん
[0:01:24] ish12213: わこらだ
[0:01:40] muru1113: だいたい始めいる
[0:01:42] milololon: わこらだ。こん
[0:01:46] kousei0315: フレンド3人しかいない…
[0:01:52] muru1113: 大人気とは
[0:02:01] nyan0_0: 今北わこらだ
[0:02:03] takoyaki_0911: こん
[0:02:06] gomimusi0123: ブラックの違いだろ？
[0:02:08] kousei0315: 少し増えてて草
[0:02:27] Toropp_A: これって大人気企画なんですか？
[0:02:38] milololon: 少ないねー
[0:02:38] kousei0315: めちゃくちゃﾀﾞｲﾆﾝｷやで
[0:02:40] muru1113: 動画用
[0:02:42] gomimusi0123: 動画用
[0:02:45] milololon: 動画用
[0:02:46] muru1113: ピコン
[0:02:47] takoyaki_0911: 動画用
[0:02:49] Toropp_A: spygeaDoya
[0:02:50] kousei0315: らだおさん！？
[0:02:52] milololon: 元気出せ
[0:02:52] ilovecarpcarp: 動画用
[0:02:53] muru1113: 少ないね
[0:02:53] yakitorioishi: 誰？
[0:03:14] mgapdu: こん
[0:03:16] sashiml61: わこらだ
[0:03:18] kousei0315: ツイッチ民の皆さん１週間お疲れ様でした
[0:03:23] muru1113: おち
[0:03:23] ankwoun: わこらだ
[0:03:24] muru1113: おい
[0:03:30] raderfan: こん
[0:03:30] gomimusi0123: bin
[0:03:40] ish12213: BIN
[0:03:42] ashurintamu: vin
[0:03:54] kousei0315: 明日は普通に仕事です。氏ね！
[0:03:56] ankwoun: BIN
[0:04:05] chosuuu: 人数すくなない？大人気企画なのに
[0:04:13] milololon: 同じく仕事です; ;
[0:04:16] sashiml61: 若干
[0:04:16] muru1113: 草
[0:04:18] gomimusi0123: 草
[0:04:19] raderfan: 草
[0:04:23] sashiml61: 草
[0:04:23] milololon: しゅげー
[0:04:23] kousei0315: ぶるぞんさん！？
[0:04:24] mugnum0109new: 草
[0:04:28] ish12213: うっま
[0:04:28] ilovecarpcarp: 草
[0:04:28] ankwoun: 草
[0:04:30] Toropp_A: 草
[0:04:35] minyofk: 草
[0:04:36] milololon: さすぎん
[0:04:36] ankwoun: やば笑
[0:04:42] raderfan: うまい
[0:04:45] ilovecarpcarp: ぎんくんちゃんさん！？
[0:04:58] sashiml61: スキンの画像に写真貼ればできそう
[0:05:02] mugnum0109new: 3巻出来たのかな？
[0:05:19] muru1113: めっちゃ凝ってて草
[0:05:32] lessermaru: こんばんは〜
[0:05:38] raderfan: こん
[0:05:39] muru1113: こん
[0:05:43] ilovecarpcarp: こん
[0:05:44] mugnum0109new: こん
[0:05:46] gomimusi0123: こん
[0:05:50] muru1113: にこにー
[0:05:51] milololon: 虫の方じゃねーか
[0:05:53] hanasuke01270213: わこらだ、こんばんは
[0:05:58] ilovecarpcarp: にこにーかわいい
[0:06:01] jieikuri: 今来た。こん
[0:06:06] hotaru_0309: こん
[0:06:07] milololon: こん
[0:06:07] kousei0315: こん
[0:06:07] ilovecarpcarp: こん
[0:06:09] lessermaru: こん
[0:06:18] raderfan: こん
[0:06:25] takoyaki_0911: こん
[0:06:40] kinoko111: こん
[0:06:41] muru1113: わー
[0:06:42] raderfan: しゅげー
[0:06:44] milololon: わー
[0:06:47] mugnum0109new: 完成？
[0:06:48] ilovecarpcarp: わー
[0:06:48] hotaru_0309: すごーい
[0:06:51] jieikuri: やば
[0:06:56] milololon: さすリス
[0:07:01] sashiml61: 水無くすだけか?
[0:07:25] ハリネズミン: 今来てすごーい
[0:07:31] Toropp_A: 大人気企画の割には人少ないですね
[0:07:47] jieikuri: 35億
[0:08:00] hotaru_0309: こん
[0:08:01] muru1113: こん
[0:08:03] ハリネズミン: こん
[0:08:06] ilovecarpcarp: こん
[0:08:08] gomimusi0123: こん
[0:08:08] mugnum0109new: こん
[0:08:11] milololon: こん
[0:08:14] マサデミ: こん
[0:08:23] watamiya09: 獻
[0:08:25] raderfan: こん
[0:08:25] nekotori222: こん
[0:08:36] ilovecarpcarp: この上に家の作るの大変そうだな
[0:08:43] Toropp_A: dtnytnSekiyu
[0:08:49] raderfan: 建築せんすが問われる
[0:08:53] sashiml61: CurseLit
[0:09:07] jieikuri: 地獄の城
[0:09:16] jieikuri: CurseLit
[0:09:18] muru1113: Twitch民さん、もうすぐ子猫来るんだけどいい名前ない？らだこれ読んでたら付けてみて
[0:09:18] mgapdu: ところどころに炎つけよ
[0:09:19] gomimusi0123: 地獄民
[0:09:22] mugnum0109new: 逆さの家作ろ（100人アスレ）
[0:09:47] jieikuri: よぉ
[0:09:48] milololon: よぉ
[0:09:51] ハリネズミン: よぉ
[0:09:52] raderfan: よぉ
[0:09:53] gomimusi0123: よぉ
[0:09:54] muru1113: ちなみに三毛猫性別は察して
[0:09:55] ilovecarpcarp: よぉ
[0:09:56] muru1113: よぉ
[0:09:57] hotaru_0309: ﾖｫ
[0:10:00] mugnum0109new: よぉ
[0:10:04] gomimusi0123: マーブルとか
[0:10:14] muru1113: 和風がええそうです
[0:10:15] ilovecarpcarp: 猫の名前らっだぁでいいんじゃね
[0:10:23] muru1113: 臭くなるからやだ
[0:10:26] jieikuri: 猫が可哀想
[0:10:27] raderfan: ミドリクソは？
[0:10:28] chosuuu: Twitchのコメビュって出せないの？
[0:10:28] milololon: それはかわいそう
[0:10:29] hotaru_0309: 草
[0:10:30] ilovecarpcarp: 草
[0:10:34] gomimusi0123: 草
[0:10:47] ハリネズミン: 三毛之助
[0:10:54] jieikuri: ばどきょ
[0:11:01] ilovecarpcarp: レウさん
[0:11:01] mugnum0109new: 普通に【にゃんぴー】でいいっしょ
[0:11:01] raderfan: レウクラ
[0:11:09] muru1113: 運営多すぎて草
[0:11:10] hotaru_0309: こんちゃん
[0:11:17] あずまっくす: ツイッチのみんな！やっほー
[0:11:22] kousei0315: やほ
[0:11:22] mugnum0109new: やっほー
[0:11:23] raderfan: やっほー
[0:11:23] hotaru_0309: やっほー
[0:11:23] ハリネズミン: やっほ
[0:11:24] milololon: やっほー
[0:11:24] muru1113: やっほー
[0:11:25] ilovecarpcarp: やっほほい
[0:11:26] gomimusi0123: やっほー
[0:11:28] mgapdu: やっほー
[0:11:34] mugnum0109new: エンドにクレーターつくろ
[0:11:40] ashurintamu: やっほ
[0:11:44] kousei0315: 皆おんなじ返事で優しすぎる泣いた
[0:11:53] atami1555: 猫やぞ証券取引所でええやろ
[0:12:00] あずまっくす: わい、号泣
[0:12:02] raderfan: みんな仲いいか、
[0:12:11] mugnum0109new: 沙霧ちゃん！？
[0:12:17] gomimusi0123: 【チョコ】とか
[0:12:21] kousei0315: か↓わ↑い↑い→
[0:12:21] muru1113: 長い二文字or三文字or四文字で
[0:12:29] ilovecarpcarp: てまり とか
[0:12:33] 032312323: わっこー、ネザーラック敷き詰め終わったん？
[0:12:34] nekotori222: エロ漫画先生面白いよね
[0:12:35] watamiya09: 分かっとるやん
[0:12:59] あずまっくす: 子猫の名前はもみじでいいんやない？
[0:13:06] milololon: 小春ちゃんとか
[0:13:18] hotaru_0309: 季節にちなむのもいいかもね
[0:13:31] raderfan: 小夏とか
[0:13:34] kousei0315: 主人公がキリtにしか聞こえないよな
[0:13:44] muru1113: 春っぽいもの！て言われたわ
[0:13:52] hotaru_0309: サクラ
[0:13:53] gomimusi0123: 全ての季節を入れていく感じが良きかと
[0:14:01] muru1113: ら民に求めたら大変なことに
[0:14:06] ハリネズミン: 桜餅
[0:14:11] 魔戒の健志: こん
[0:14:15] mugnum0109new: こん
[0:14:16] gomimusi0123: こん
[0:14:17] ハリネズミン: こん
[0:14:18] muru1113: こん
[0:14:18] milololon: こん
[0:14:20] hotaru_0309: こん
[0:14:20] raderfan: こん
[0:14:21] ilovecarpcarp: こんこん
[0:14:25] atami1555: こn
[0:14:29] nekotori222: こん
[0:14:29] あずまっくす: こん
[0:14:40] mugnum0109new: せやな
[0:14:46] muru1113: だいたいうちの家の猫ジブリ多いんだよな
[0:14:50] rinrin2525: わこらだ
[0:14:58] muru1113: ２匹だけど
[0:15:11] raderfan: 猫好きなんだね
[0:15:26] hotaru_0309: 動物飼ってるのうらやましい
[0:15:29] ハリネズミン: と、鳥もいいゾ！
[0:15:30] muru1113: サーバル(元)を見た時は萌えた
[0:15:36] muru1113: 鳥もすこよ
[0:15:41] atami1555: いったな？
[0:15:42] ハリネズミン: 言ったな？
[0:15:44] muru1113: 言ったな？
[0:15:44] mugnum0109new: 明日補習なんだが
[0:15:46] ankwoun: 言ったな？
[0:15:48] ashurintamu: 氏ね
[0:15:50] raderfan: いったな
[0:15:52] ilovecarpcarp: いったな？
[0:16:06] ハリネズミン: ぶっちぎり？
[0:16:12] raderfan: 超会議
[0:16:15] 032312323: ；；
[0:16:20] yanshi0913: 私がきたー！こん
[0:16:20] mugnum0109new: 超会議行きたかったなー
[0:16:20] ashurintamu: 超会議
[0:16:22] muru1113: そういえばらだ超会議でないの？
[0:16:23] milololon: 行かない
[0:16:23] gomimusi0123: らだの新しいワードやな、
[0:16:24] hotaru_0309: 超会議
[0:16:51] そうちん: 超会議って何するところ？
[0:16:53] atami1555: 行けねぇよ56すぞ
[0:16:57] rinrin2525: わこらだ
[0:17:04] あずまっくす: こん
[0:17:05] nekotori222: 行きたいけど遠いな～
[0:17:06] milololon: 一回も行ったことないなー
[0:17:08] mugnum0109new: こん
[0:17:12] hotaru_0309: こん
[0:17:13] milololon: こん
[0:17:15] muru1113: こん
[0:17:15] nekotori222: こん
[0:17:16] ハリネズミン: こん
[0:17:17] gomimusi0123: こん
[0:17:19] ilovecarpcarp: こん
[0:17:21] atami1555: kn
[0:17:27] muru1113: ええな
[0:17:28] ハリネズミン: 良いな
[0:17:30] yanshi0913: まじ？
[0:17:30] raderfan: こん
[0:17:31] ilovecarpcarp: おけ
[0:17:32] mugnum0109new: いいね
[0:17:33] milololon: 楽しみー
[0:17:34] 魔戒の健志: こん
[0:17:34] hotaru_0309: いーね
[0:17:36] junesixtwo: イェーイ
[0:17:39] ashurintamu: よっしゃ
[0:17:41] atami1555: ええやん
[0:17:44] hotaru_0309: ウェイウェイ
[0:17:44] gomimusi0123: ワーイ
[0:17:50] milololon: ツイッチ皆で考えるの好き
[0:17:51] mugnum0109new: 22人村とかやろ
[0:17:59] saki1615: こん
[0:18:04] yanshi0913: 絶対みる
[0:18:07] gomimusi0123: こん
[0:18:10] hotaru_0309: こん
[0:18:10] ハリネズミン: こん
[0:18:12] raderfan: 明日はみんなで知恵を絞ろう
[0:18:15] muru1113: こゆ
[0:18:17] watamiya09: こん
[0:18:19] muru1113: こん
[0:18:19] atami1555: こん
[0:18:19] mugnum0109new: こん
[0:18:23] raderfan: こん
[0:18:24] milololon: こん
[0:18:27] ilovecarpcarp: かん
[0:18:36] watamiya09: きん
[0:18:40] atami1555: ; ;
[0:18:48] muru1113: また湧くのかなぁ
[0:18:57] あずまっくす: ぐちつぼさん来ないかなー
[0:19:03] muru1113: ｱｯｰ!
[0:19:08] yanshi0913: またあいつ新しいの買ってくるだろ
[0:19:30] muru1113: そのまま炎上
[0:19:32] milololon: 害悪ですね
[0:19:55] raderfan: こ
[0:20:00] muru1113: BE！
[0:20:02] ankwoun: BE
[0:20:03] mugnum0109new: BE
[0:20:04] ハリネズミン: BE
[0:20:07] chosuuu: be
[0:20:09] gomimusi0123: be
[0:20:10] ilovecarpcarp: BE
[0:20:13] atami1555: BE
[0:20:20] yanshi0913: 面識ある人だけでやれば安全。
[0:20:24] ハリネズミン: アプデで速くなったんだっけ
[0:20:33] atami1555: be動詞
[0:20:34] hotaru_0309: 前回の人狼は酷かったですもんね
[0:20:47] junesixtwo: お前の反応は遅漏だな
[0:20:54] raderfan: 今回は普通の人狼をみたいな
[0:21:11] muru1113: ？
[0:21:16] yanshi0913: ？
[0:21:18] ilovecarpcarp: ？
[0:21:19] gomimusi0123: ？
[0:21:21] mugnum0109new: ？
[0:21:21] hotaru_0309: ？
[0:21:22] milololon: ？
[0:21:23] raderfan: ？
[0:21:23] ハリネズミン: 自演乙
[0:21:28] atami1555: ４ね
[0:21:44] atami1555: 迷ったぁ
[0:21:54] ilovecarpcarp: 困ったぁ
[0:22:39] yanshi0913: 草
[0:22:42] muru1113: 草
[0:22:49] mugnum0109new: 草
[0:22:49] raderfan: 草
[0:22:54] gomimusi0123: 草
[0:22:57] hotaru_0309: 現状から目をそらすな
[0:23:01] milololon: 一旦落ちます！また来ます～
